user,created_at,text
511nyBDFV,1/17/2020 14:46,Construction on #DLine SB from 9th Avenue Station to Coney Island-Stillwell Avenue Statio
511nyJMZ,1/17/2020 14:46,Construction on #JLine Manhattan bound from Flushing Avenue Station to Hewes Street Statio
511ny123,1/17/2020 14:46,Construction on #1Line SB at 207th Street Statio
511nyLongIsland,1/17/2020 14:44,Incident on #PortWashingtonBranch WB from Port Washington Station to New York Penn Statio
511NYMidHudson,1/17/2020 14:42,Incident on #SprainBrookStateParkway SB at Exit   - Jackson Avenu
511ny123,1/17/2020 14:41,Construction on #1Line Both directions from 137th Street-City College Station to Dyckman Street Statio
511ny456,1/17/2020 14:40,Updated: Incident on #4Line SB from Franklin Avenue Station to Utica Avenue-Crown Hts Statio
511ny456,1/17/2020 14:39,Incident on #4Line SB from Franklin Avenue Station to Utica Avenue-Crown Hts Statio
511NY,1/17/2020 14:37,Construction on #I287 SB from Exit 14 - US 22 to Exit 8 - Possumtown R
511nyLongIsland,1/17/2020 14:37,Incident on #BabylonBranch WB from Babylon Station to New York Penn Statio
511NYMidHudson,1/17/2020 14:37,Incident on #KingstonrhinecliffBridge Both directions from Ulster County Side to Dutchess County Sid
511NYMidHudson,1/17/2020 14:33,Incident on #NY22 SB at Exit   - Route 55 Junction; Pawlin
511NYMidHudson,1/17/2020 14:32,Construction on #NY9A NB from Lamont Street to Warehouse Lan
511NYMidHudson,1/17/2020 14:32,Construction on #TaconicStateParkway NB at Lakeview Avenu
511NYMidHudson,1/17/2020 14:32,Construction on #PalisadesInterstateParkway SB from END ROUTE - US Hwy 6 / 202 / 9W - Bear Mountain Bridge -.
511NYMidHudson,1/17/2020 14:32,Construction on #NY22 Both directions from Concordia Place to Tanglewylde Avenu
511nyLongIsland,1/17/2020 14:31,Incident on #PortJeffersonBranch WB from Huntington Station to New York Penn Statio
511nyAlbany,1/17/2020 14:27,Incident on #I88 WB from Exit 25; NY 7 to Exit 24; US 20; NY 
511NYMidHudson,1/17/2020 14:27,Incident on #BronxRiverParkway NB at Exit 3 - Elm Stree
511NYMidHudson,1/17/2020 14:24,Construction on #NY129 Both directions from Old Post Road to Grand Stree
511nyAlbany,1/17/2020 14:23,Construction on #I87NYSThruway NB from Before Exit 24 (I-87) - Albany (I-87 Northway - I-90 East) to Before Exit.
511NY,1/17/2020 14:20,Cleared: Incident on #NewJerseyTurnpikeEasternSpur at Interchange 15E - US 1&amp
511NYMidHudson,1/17/2020 14:18,Incident on #NY23 EB at NY 21
511nyLongIsland,1/17/2020 14:17,Incident on #PortJeffersonBranch WB at Huntington Statio
511NYMidHudson,1/17/2020 14:11,Incident on #TaconicStateParkway NB at Exit 4 - NY 11
511ny456,1/17/2020 14:10,Incident on #6Line NB from Hunts Point Avenue Station to Parkchester-E 177th Street Statio
511nyLongIsland,1/17/2020 14:07,Incident on #I495 WB from Exit 39 - Glen Cove Road to Exit 37 - Willis Avenu
511NY,1/17/2020 14:06,Updated: Incident on #PortJerse
