time,user,text
2/2/2020 12:35,511NY,Updated: Incident on HollandTunnel WB at Mid-Tunnel - North Tube 
2/2/2020 12:31,511NY,Incident on HollandTunnel WB at Mid-Tunnel - North Tube 
2/2/2020 12:07,511NY,Construction on PortNewarkElizabethMarineTerminal 
2/2/2020 11:10,511NY,Cleared: Incident on BeltSystemCrossIslandParkway SB at START ROUTE Belt System - Cross Island Parkway; Linden Boulevard; Southern...
2/2/2020 10:32,511NY,Incident on BeltSystemCrossIslandParkway SB at START ROUTE Belt System - Cross Island Parkway; Linden Boulevard;...
2/2/2020 0:45,511NY,Updated: Special Event on PrudentialCenterROCK
2/2/2020 0:16,511NY,Special Event on MeadowlandsRacetrack
2/2/2020 0:01,511NY,Special Event on PrudentialCenterROCK
2/1/2020 9:45,511NY,Updated: Incident on WaltWhitmanBridge Both directions from New Jersey Side to Pennsylvania Side
2/1/2020 8:57,511NY,Cleared: Incident on OTHER NB
2/1/2020 8:53,511NY,Cleared: Incident on GardenStateParkway SB at Pascack Valley Toll Plaza
2/1/2020 8:50,511NY,Cleared: Construction on BronxwhitestoneBridge Both directions at Bronx/Queens Bound
2/1/2020 8:12,511NY,Incident on GardenStateParkway SB at Pascack Valley Toll Plaza
2/1/2020 7:54,511NY,Cleared: Construction on ThrogsNeckBridge SB
2/1/2020 7:45,511NY,Incident on WaltWhitmanBridge Both directions from New Jersey Side to Pennsylvania Side
2/1/2020 6:35,511NYC,Construction on QueensboroBridge Both directions from Manhattan Side to Queens Bound
2/1/2020 6:13,511NY,Cleared: Incident on HudsonBergenLightRail Both directions from Liberty State Park Light Rail Stop to Jersey Ave Light Rail Stop
2/1/2020 6:06,511NY,Updated: Incident on HudsonBergenLightRail Both directions from Liberty State Park Light Rail Stop to Jersey
2/1/2020 5:55,511NY,Construction on VerrazanonarrowsBridge EB at Brooklyn Bound
2/1/2020 5:51,511NY,Incident on HudsonBergenLightRail Both directions from Liberty State Park Light Rail Stop to Jersey Ave
2/1/2020 5:28,511NY,Cleared: Incident on FarRockawayBranch EB at Atlantic Terminal
2/1/2020 5:25,511NYC,Updated: Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level
2/1/2020 5:24,511NY,Cleared: Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza
2/1/2020 5:15,511NY,Cleared: Construction on FletcherStreet from Front Street to South Street
2/1/2020 5:13,511NY,Incident on FarRockawayBranch EB at Atlantic Terminal
2/1/2020 5:09,511NY,Closure on LincolnTunnel Both directions from New Jersey Side - Center Tube to New York Side - Center Tube
2/1/2020 5:06,511NY,Updated: Construction on LincolnTunnel Both directions from New Jersey Side - Center Tube to New York Side
2/1/2020 5:05,511NY,Updated: Construction on Systemwide Both directions from New Hyde Park to Hicksville
2/1/2020 5:00,511NYC,Updated: Construction on FletcherStreet from Front Street to South Street
2/1/2020 5:00,511NY,Cleared: Construction on GallowayRoad Both directions from Hogback Hill Road to Palmyra Newark Road
2/1/2020 4:57,511nyLongIsland,Construction on Systemwide Both directions from New Hyde Park to Hicksville
2/1/2020 4:53,511NY,Special Event on BrooklynBatteryTunnel at Manhattan Bound
2/1/2020 4:16,511NY,Cleared: Incident on ALine SB at Broadway Junction
2/1/2020 4:05,511nyACE,Incident on ALine SB at Broadway Junction
2/1/2020 4:05,511NY,Construction on BronxwhitestoneBridge Both directions at Bronx/Queens Bound
2/1/2020 4:05,511NY,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza
