time,user,text
1/29/2020 1:01,511NY,Special Event on #RadioCityMusicHall
1/29/2020 1:01,511NY,Construction on #US130 NB at South of Hankins Rd
1/29/2020 1:01,511NY,Closure on #West53RdStreet from 8th Avenue to 9th Avenue
1/29/2020 1:01,511NY,Construction on #LProject Both directions from Rockaway Parkway-Canarsie Station to 14th Street-Union Square Station
1/29/2020 1:01,511NY,Construction on #BronxRiverParkway SB from Exit - Sprain Brook Parkway to Exit 11W - Cross County Parkway
1/29/2020 1:01,511NYC,Special Event on #RadioCityMusicHall
1/29/2020 1:01,511NY,Construction on #I195 WB at Exit 8 - CR 539
1/29/2020 1:01,511NYC,Closure on #West53RdStreet from 8th Avenue to 9th Avenue
1/29/2020 1:01,511NY,Construction on #I84 Both directions from Pennsylvania State Line (I-84) to Exit 5 (I-84) - Maybrook (NY 208)
1/29/2020 1:01,511NYMidHudson,Construction on #BronxRiverParkway SB from Exit - Sprain Brook Parkway to Exit 11W - Cross County Parkway
